indicator_id,target_id,indicator_name,definition,method,unit,direction,baseline_year,baseline_value,target_year,target_value,source,source_url,update_cycle,custodian,status_override,is_headline,display,note
13-1-1,13-1,방재시설 집행 비율,자연재해 저감을 위한 방재시설 사업비의 연간 집행 정도,(연간 집행액 ÷ 연간 예산액) × 100,%,up,2020,72.4,2030,95,행정안전부,https://www.mois.go.kr,연간,안전정책팀,,FALSE,TRUE,예시값 - 실제 통계로 교체 필요
13-2-1,13-2,기후변화대응 기본계획 수립 지자체 비율,기후위기 대응을 위한 기본계획을 수립한 기초지자체의 비율,(수립 지자체 수 ÷ 전체 기초지자체 수) × 100,%,up,2020,45.0,2030,100,환경부,https://www.me.go.kr,연간,기후정책팀,,TRUE,TRUE,예시값 - 실제 통계로 교체 필요
13-2-2,13-2,기후·에너지 전담기관 설치 지자체 비율,기후·에너지 전담조직 또는 전담기관을 설치한 지자체의 비율,(설치 지자체 수 ÷ 전체 지자체 수) × 100,%,up,2020,12.3,2030,60,환경부,https://www.me.go.kr,연간,기후정책팀,,FALSE,TRUE,예시값 - 실제 통계로 교체 필요
13-4-1,13-4,국가 온실가스 총배출량,LULUCF를 제외한 국가 온실가스 총배출량,국가 온실가스 인벤토리 산정 결과,백만 tCO2eq,down,2018,727.6,2030,436.6,온실가스종합정보센터,https://www.gir.go.kr,연간,기후정책팀,,TRUE,TRUE,2030 NDC 기준 2018년 대비 40% 감축 목표
14-1-1,14-1,생태기반 해수수질 기준 달성률,생태기반 해수수질 기준(I~II등급)을 충족한 해역 조사지점의 비율,(기준 충족 지점 수 ÷ 전체 조사지점 수) × 100,%,up,2020,62.1,2030,80,해양수산부,https://www.mof.go.kr,연간,해양환경팀,,TRUE,TRUE,예시값 - 실제 통계로 교체 필요
14-1-2,14-1,해양쓰레기 수거량,연간 해안·해저·부유 해양쓰레기 수거 실적,연간 수거량 합계,천 톤,up,2020,11.8,,,해양수산부,https://www.mof.go.kr,연간,해양환경팀,,FALSE,TRUE,목표값 미설정 - 관리 성과 모니터링 지표
14-2-1,14-2,갯벌 복원 면적,갯벌 생태계 복원사업을 통해 복원된 누적 면적,연도별 복원 면적의 누적 합계,ha,up,2020,45,2030,660,해양수산부,https://www.mof.go.kr,연간,해양생태팀,,FALSE,TRUE,예시값 - 최신 실적 갱신 필요
14-2-2,14-2,바다숲 조성 누적면적,연안 바다숲 조성사업의 누적 조성 면적,연도별 조성 면적의 누적 합계,ha,up,2020,26000,2030,54000,한국수산자원공단,https://www.fira.or.kr,연간,해양생태팀,,FALSE,TRUE,예시값 - 실제 통계로 교체 필요
14-5-1,14-5,해양보호구역 비율,관할해역 면적 대비 지정된 해양보호구역 면적의 비율,(해양보호구역 면적 ÷ 관할해역 면적) × 100,%,up,2020,2.46,2030,30,해양수산부,https://www.mof.go.kr,연간,해양생태팀,,TRUE,TRUE,쿤밍-몬트리올 30by30 목표 반영
15-1-1,15-1,육상 보호지역 비율,국토 면적 대비 법정 보호지역으로 지정된 면적의 비율,(보호지역 면적 ÷ 국토 면적) × 100,%,up,2020,16.9,2030,30,환경부,https://www.me.go.kr,연간,자연보전팀,,TRUE,TRUE,쿤밍-몬트리올 30by30 목표 반영
15-1-2,15-1,국토면적 대비 산림면적 비율,전체 국토 면적에서 산림이 차지하는 비율,(산림 면적 ÷ 국토 면적) × 100,%,up,2020,63.2,2030,63.5,산림청,https://www.forest.go.kr,연간,산림정책팀,,FALSE,TRUE,개발에 따른 산림 전용으로 감소 추세 - 관리 강화 필요
15-4-2,15-4,주요 멸종위기종 복원율,복원 대상으로 지정된 멸종위기 야생생물 중 복원목표를 달성한 종의 비율,(복원목표 달성 종 수 ÷ 복원 대상 종 수) × 100,%,up,2020,32.0,2030,60,국립생태원,https://www.nie.re.kr,연간,자연보전팀,,TRUE,TRUE,예시값 - 실제 통계로 교체 필요
15-7-1,15-7,백두대간 등 산림복원 면적,백두대간·정맥 등 핵심 생태축의 단절구간 산림복원 누적 면적,연도별 복원 면적의 누적 합계,ha,up,2020,1250,2030,8000,산림청,https://www.forest.go.kr,연간,산림정책팀,,FALSE,TRUE,예시값 - 실제 통계로 교체 필요
S1-1-1,S1-1,초미세먼지(PM2.5) 연평균 농도,도시대기측정망에서 측정한 초미세먼지의 연평균 질량농도,전국 측정소 연평균값의 산술평균,㎍/㎥,down,2020,21.0,2030,13.0,한국환경공단 에어코리아,https://www.airkorea.or.kr,연간,대기환경팀,,TRUE,TRUE,예시값 - 실제 관측치로 교체 필요
S1-1-2,S1-1,초미세먼지 나쁨 이상 일수,초미세먼지 일평균 농도가 나쁨(36㎍/㎥ 초과)인 날의 연간 일수,연간 해당 일수 합계,일,down,2020,62,2030,30,한국환경공단 에어코리아,https://www.airkorea.or.kr,연간,대기환경팀,,FALSE,TRUE,예시값 - 실제 관측치로 교체 필요
S1-2-1,S1-2,오존 주의보 발령일수,오존 농도가 주의보 기준(0.12ppm)을 초과해 발령된 연간 일수,연간 발령일수 합계,일,down,2020,67,2030,40,국립환경과학원,https://www.nier.go.kr,연간,대기환경팀,,FALSE,TRUE,기온 상승으로 증가 추세 - 대책 재검토 필요
S2-1-1,S2-1,하천 수질 좋음(Ib) 이상 달성률,BOD 기준 좋음 등급 이상을 만족한 하천 측정지점의 비율,(기준 충족 지점 수 ÷ 전체 측정지점 수) × 100,%,up,2020,78.4,2030,90,물환경정보시스템,https://water.nier.go.kr,연간,물환경팀,,TRUE,TRUE,예시값 - 실제 관측치로 교체 필요
S2-1-2,S2-1,하수도 보급률,전체 인구 대비 공공하수처리구역 내 인구 비율,(하수처리구역 인구 ÷ 총인구) × 100,%,up,2020,94.5,2030,98,환경부 하수도통계,https://www.me.go.kr,연간,물환경팀,,FALSE,TRUE,예시값 - 실제 통계로 교체 필요
S2-2-1,S2-2,물 재이용률,총 물 사용량 대비 하수처리수·빗물 등 재이용수 비율,(재이용량 ÷ 총 사용량) × 100,%,up,2020,14.8,2030,25,환경부,https://www.me.go.kr,연간,물환경팀,,FALSE,TRUE,예시값 - 실제 통계로 교체 필요
S3-1-1,S3-1,도로변 소음도 환경기준 달성률(주간),도로변 소음측정망에서 주간 환경기준을 만족한 지점의 비율,(기준 충족 지점 수 ÷ 전체 측정지점 수) × 100,%,up,2020,52.1,2030,75,국립환경과학원 소음측정망,https://www.nier.go.kr,연간,생활환경팀,,FALSE,TRUE,예시값 - 실제 관측치로 교체 필요
S3-1-2,S3-1,1인당 도시공원 조성면적,주민등록인구 1인당 조성 완료된 도시공원 면적,(조성 도시공원 면적 ÷ 주민등록인구),㎡,up,2020,10.9,2030,15,국토교통부 도시계획현황,https://www.molit.go.kr,연간,공원녹지팀,,TRUE,TRUE,예시값 - 실제 통계로 교체 필요
S3-2-1,S3-2,자연환경 우수지역 면적 비율,생태자연도 1등급 등 보전가치가 높은 지역이 국토에서 차지하는 비율,(우수지역 면적 ÷ 국토 면적) × 100,%,up,2020,22.6,2030,30,국립생태원,https://www.nie.re.kr,2년,자연보전팀,,FALSE,TRUE,예시값 - 실제 관측치로 교체 필요
S3-2-2,S3-2,생물다양성 지수,조사지역의 종 풍부도와 균등도를 종합한 지수,샤논-위너 지수 산정 결과,지수,up,2020,0.62,,,국립생물자원관,https://www.nibr.go.kr,연간,자연보전팀,,FALSE,TRUE,목표값 미설정 - 추세 관찰용 지표
