indicator_id	target_id	indicator_name	definition	method	unit	direction	baseline_year	baseline_value	target_year	target_value	source	source_url	update_cycle	custodian	status_override	is_headline	display	note
13-1-1	13-1	방재시설 집행 비율	자연재해 저감을 위한 방재시설 사업비의 연간 집행 정도	(연간 집행액 ÷ 연간 예산액) × 100	%	up	2020	72.4	2030	95	행정안전부	https://www.mois.go.kr	연간	안전정책팀		FALSE	TRUE	예시값 - 실제 통계로 교체 필요
13-2-1	13-2	기후변화대응 기본계획 수립 지자체 비율	기후위기 대응을 위한 기본계획을 수립한 기초지자체의 비율	(수립 지자체 수 ÷ 전체 기초지자체 수) × 100	%	up	2020	45.0	2030	100	환경부	https://www.me.go.kr	연간	기후정책팀		TRUE	TRUE	예시값 - 실제 통계로 교체 필요
13-2-2	13-2	기후·에너지 전담기관 설치 지자체 비율	기후·에너지 전담조직 또는 전담기관을 설치한 지자체의 비율	(설치 지자체 수 ÷ 전체 지자체 수) × 100	%	up	2020	12.3	2030	60	환경부	https://www.me.go.kr	연간	기후정책팀		FALSE	TRUE	예시값 - 실제 통계로 교체 필요
13-4-1	13-4	국가 온실가스 총배출량	LULUCF를 제외한 국가 온실가스 총배출량	국가 온실가스 인벤토리 산정 결과	백만 tCO2eq	down	2018	727.6	2030	436.6	온실가스종합정보센터	https://www.gir.go.kr	연간	기후정책팀		TRUE	TRUE	2030 NDC 기준 2018년 대비 40% 감축 목표
14-1-1	14-1	생태기반 해수수질 기준 달성률	생태기반 해수수질 기준(I~II등급)을 충족한 해역 조사지점의 비율	(기준 충족 지점 수 ÷ 전체 조사지점 수) × 100	%	up	2020	62.1	2030	80	해양수산부	https://www.mof.go.kr	연간	해양환경팀		TRUE	TRUE	예시값 - 실제 통계로 교체 필요
14-1-2	14-1	해양쓰레기 수거량	연간 해안·해저·부유 해양쓰레기 수거 실적	연간 수거량 합계	천 톤	up	2020	11.8			해양수산부	https://www.mof.go.kr	연간	해양환경팀		FALSE	TRUE	목표값 미설정 - 관리 성과 모니터링 지표
14-2-1	14-2	갯벌 복원 면적	갯벌 생태계 복원사업을 통해 복원된 누적 면적	연도별 복원 면적의 누적 합계	ha	up	2020	45	2030	660	해양수산부	https://www.mof.go.kr	연간	해양생태팀		FALSE	TRUE	예시값 - 최신 실적 갱신 필요
14-2-2	14-2	바다숲 조성 누적면적	연안 바다숲 조성사업의 누적 조성 면적	연도별 조성 면적의 누적 합계	ha	up	2020	26000	2030	54000	한국수산자원공단	https://www.fira.or.kr	연간	해양생태팀		FALSE	TRUE	예시값 - 실제 통계로 교체 필요
14-5-1	14-5	해양보호구역 비율	관할해역 면적 대비 지정된 해양보호구역 면적의 비율	(해양보호구역 면적 ÷ 관할해역 면적) × 100	%	up	2020	2.46	2030	30	해양수산부	https://www.mof.go.kr	연간	해양생태팀		TRUE	TRUE	쿤밍-몬트리올 30by30 목표 반영
15-1-1	15-1	육상 보호지역 비율	국토 면적 대비 법정 보호지역으로 지정된 면적의 비율	(보호지역 면적 ÷ 국토 면적) × 100	%	up	2020	16.9	2030	30	환경부	https://www.me.go.kr	연간	자연보전팀		TRUE	TRUE	쿤밍-몬트리올 30by30 목표 반영
15-1-2	15-1	국토면적 대비 산림면적 비율	전체 국토 면적에서 산림이 차지하는 비율	(산림 면적 ÷ 국토 면적) × 100	%	up	2020	63.2	2030	63.5	산림청	https://www.forest.go.kr	연간	산림정책팀		FALSE	TRUE	개발에 따른 산림 전용으로 감소 추세 - 관리 강화 필요
15-4-2	15-4	주요 멸종위기종 복원율	복원 대상으로 지정된 멸종위기 야생생물 중 복원목표를 달성한 종의 비율	(복원목표 달성 종 수 ÷ 복원 대상 종 수) × 100	%	up	2020	32.0	2030	60	국립생태원	https://www.nie.re.kr	연간	자연보전팀		TRUE	TRUE	예시값 - 실제 통계로 교체 필요
15-7-1	15-7	백두대간 등 산림복원 면적	백두대간·정맥 등 핵심 생태축의 단절구간 산림복원 누적 면적	연도별 복원 면적의 누적 합계	ha	up	2020	1250	2030	8000	산림청	https://www.forest.go.kr	연간	산림정책팀		FALSE	TRUE	예시값 - 실제 통계로 교체 필요
